Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 33.33      0.06     0.06   286905     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::raw_hash_set(phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > const&, std::allocator<int> const&)
 27.78      0.11     0.05    27587     0.00     0.00  void std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > >::_M_realloc_insert<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&>(__gnu_cxx::__normal_iterator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >*, std::vector<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> >, std::allocator<std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > > > >, std::vector<EncodedOperator*, std::allocator<EncodedOperator*> > const&)
 11.11      0.13     0.02   910904     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_hint_unique_pos(std::_Rb_tree_const_iterator<int>, int const&)
 11.11      0.15     0.02    27587     0.00     0.01  Task::get_successor_states(phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >&, std::vector<std::pair<int, std::pair<unsigned long, phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > > >, std::allocator<std::pair<int, std::pair<unsigned long, phmap::flat_hash_set<int, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> > > > > >&, unsigned long)
  5.56      0.16     0.01   806509     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_unique_pos(int const&)
  5.56      0.17     0.01   695355     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::destroy_slots()
  5.56      0.18     0.01        1    10.00   180.00  breadth_first_search(BaseTask&)
  0.00      0.18     0.00   286913     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::initialize_slots(unsigned long)
  0.00      0.18     0.00   286913     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::resize(unsigned long)
  0.00      0.18     0.00   166621     0.00     0.00  phmap::priv::raw_hash_set<phmap::priv::FlatHashSetPolicy<int>, phmap::Hash<int>, phmap::EqualTo<int>, std::allocator<int> >::prepare_insert(unsigned long)
  0.00      0.18     0.00    82662     0.00     0.00  void std::vector<int, std::allocator<int> >::_M_realloc_insert<int const&>(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, int const&)
